.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1	1	1	0.25	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2	1	1	1	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1	1	1	0.25	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2	1	1	1	1	0.5	0.5	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_1	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG14_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_1	1	1	0.25	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG15_2	1	1	1	1	0.25	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_1	1	1	0.25	1	0.5	0.5	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG17_2	1	1	1	1	0.5	0.5	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_1	1	1	0.25	1	0.5	0.25	1	1	0.25	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG19_2	1	1	1	1	0.5	0.25	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_1	1	1	0.25	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG2_2	1	1	1	1	0.5	1	1	1	1	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_1	1	1	0.25	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG20_2	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_1	1	1	0.25	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG21_2	1	1	1	1	0.5	1	1	1	0.5	1	1
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG22_1	1	1	0.25	1	0.5	1	1	1	0.5	1	1
