Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1	(1, 33.222259738695755)	(2, 33.31674437509477)	(3, 32.88414937368244)	(4, 33.122166866839365)	(5, 33.25781319650975)	(6, 33.21992228817196)	(7, 33.310488641915974)	(8, 33.320375956670794)	(9, 33.33709735107669)	(10, 33.33039418165539)	(15, 33.312683129147274)	(20, 33.29590952554826)	(25, 33.321828167478586)	(30, 33.31732747917299)	(35, 33.310918105748826)	(40, 33.289773016038126)	(45, 33.27641467507756)	(50, 33.255250354404474)	(55, 33.21568812952596)	(60, 33.210412601473614)	(65, 33.164629889808005)	(70, 33.17002378405351)	(75, 33.14002205129608)	(80, 33.09069599504835)	(85, 33.01891553242338)	(90, 32.94438306445109)	(95, 32.96257506389705)	(100, 32.960649007984706)	(105, 32.92659142307721)	(110, 32.88851084669326)	(115, 32.855858525810504)	(120, 32.81577837882123)	(125, 32.746010514896916)	(130, 32.67048099655387)	(135, 32.659542036517074)	(140, 32.4791326856708)	(145, 32.552106145646114)	(150, 32.249672382991285)	(155, 30.96454610269697)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2	(1, 32.74055445367842)	(2, 32.977711221237165)	(3, 32.59559237890307)	(4, 32.82628533717432)	(5, 32.951556766632116)	(6, 33.02094368323998)	(7, 33.011960624794675)	(8, 33.04144447001696)	(9, 33.07725458269218)	(10, 33.06948339297311)	(15, 33.00645272779982)	(20, 33.05742858763466)	(25, 33.15291264629228)	(30, 33.15527018525395)	(35, 33.14543440200999)	(40, 33.13342025760603)	(45, 33.11946941491249)	(50, 33.101936558258316)	(55, 33.080468490723334)	(60, 32.96475687570438)	(65, 33.024229792090374)	(70, 32.9013195251197)	(75, 32.965556132757186)	(80, 32.93943278238401)	(85, 32.9204352123762)	(90, 32.89089740151907)	(95, 32.85931092958486)	(100, 32.69519993346266)	(105, 32.775423825845074)	(110, 32.711583883602955)	(115, 32.58700638001526)	(120, 32.52823061886271)	(125, 32.415487715375676)	(130, 32.4172807657754)	(135, 32.33034156792747)	(140, 32.22306941338425)	(145, 32.064706345157845)	(150, 31.85128683645984)	(155, 29.81063490545183)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1	(1, 33.09583061864488)	(2, 33.289221105718035)	(3, 32.87929501924688)	(4, 33.106794284038514)	(5, 33.24578983506856)	(6, 33.20789378097853)	(7, 33.29862455812143)	(8, 33.31109212318807)	(9, 33.32805807157103)	(10, 33.319888001866715)	(15, 33.302092741835615)	(20, 33.28419066565852)	(25, 33.312880204167)	(30, 33.30887608036651)	(35, 33.30167891884823)	(40, 33.27987856660188)	(45, 33.26548170631869)	(50, 33.24365723086114)	(55, 33.20285664917314)	(60, 33.19587919190728)	(65, 33.150194110261324)	(70, 33.153944751503204)	(75, 33.121579788525814)	(80, 33.06914755800786)	(85, 32.992722242164845)	(90, 32.91587154046242)	(95, 32.933557234049644)	(100, 32.93171094166059)	(105, 32.89586337527352)	(110, 32.85639339544051)	(115, 32.822192046956886)	(120, 32.78056714095667)	(125, 32.710614689878376)	(130, 32.631760899756074)	(135, 32.61924326764729)	(140, 32.43773621723692)	(145, 32.50859712850019)	(150, 32.20237083907593)	(155, 30.921957901219614)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2	(1, 32.473360012029644)	(2, 32.86368693359389)	(3, 32.48804127635417)	(4, 32.74684667818128)	(5, 32.88092529704367)	(6, 32.95318617770987)	(7, 32.95697422881321)	(8, 32.98714954795489)	(9, 33.01719267848434)	(10, 33.01968873842844)	(15, 32.95804789086896)	(20, 33.00809179758282)	(25, 33.106598141316745)	(30, 33.11053533797445)	(35, 33.09879827719986)	(40, 33.08573128277645)	(45, 33.06884814353805)	(50, 33.04989558915412)	(55, 33.02465894309103)	(60, 32.90813334499627)	(65, 32.96287461520343)	(70, 32.83855161276522)	(75, 32.899401924002824)	(80, 32.87061603791169)	(85, 32.84800826019038)	(90, 32.814534975593645)	(95, 32.77931224008203)	(100, 32.61287728681759)	(105, 32.68774962372851)	(110, 32.616762479603665)	(115, 32.48548105893344)	(120, 32.41976271078848)	(125, 32.303213570531355)	(130, 32.29684070427284)	(135, 32.20424176793601)	(140, 32.08616793614137)	(145, 31.919346430448684)	(150, 31.68891531907922)	(155, 29.630153549178292)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1	(1, 33.12493926169802)	(2, 33.29449192753058)	(3, 32.91595545469789)	(4, 33.10318678971007)	(5, 33.25955617312174)	(6, 33.21425542616689)	(7, 33.31503172156757)	(8, 33.320732693774694)	(9, 33.33959212464383)	(10, 33.33041953109087)	(15, 33.31539522165505)	(20, 33.29631538193721)	(25, 33.31911577117562)	(30, 33.31220804699007)	(35, 33.30300325720846)	(40, 33.280957342260116)	(45, 33.26451562418817)	(50, 33.243342497670966)	(55, 33.20202517077824)	(60, 33.1957425573693)	(65, 33.14804721357623)	(70, 33.15209587532948)	(75, 33.12058575298685)	(80, 33.06895452756316)	(85, 32.99478356236945)	(90, 32.91768676256493)	(95, 32.93559626470554)	(100, 32.93204737241095)	(105, 32.89806176137215)	(110, 32.85759525481717)	(115, 32.82458202587676)	(120, 32.78195199808279)	(125, 32.71272119421504)	(130, 32.632809697448074)	(135, 32.623121161664194)	(140, 32.44380020672312)	(145, 32.512758929128246)	(150, 32.21419225156696)	(155, 30.951118309171658)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2	(1, 32.54980617753705)	(2, 32.90282018665274)	(3, 32.55579425611349)	(4, 32.75412909049877)	(5, 32.910308002888236)	(6, 32.96269304001294)	(7, 32.9782444717034)	(8, 33.00176530988415)	(9, 33.037401262274145)	(10, 33.03056360454791)	(15, 32.97143416677315)	(20, 33.02192970522743)	(25, 33.119057300024735)	(30, 33.12146922683301)	(35, 33.10953904962752)	(40, 33.095681382201825)	(45, 33.07931601118683)	(50, 33.05980020653648)	(55, 33.03653045227792)	(60, 32.92053452365435)	(65, 32.974356529790626)	(70, 32.851829936813964)	(75, 32.911641617339754)	(80, 32.882578389709366)	(85, 32.86089197131745)	(90, 32.829541234304955)	(95, 32.79308709642115)	(100, 32.63029071118039)	(105, 32.702171311326495)	(110, 32.63304721229305)	(115, 32.50197355649084)	(120, 32.439193542332426)	(125, 32.32234881846723)	(130, 32.31630735947694)	(135, 32.223827845552265)	(140, 32.10790182473992)	(145, 31.942533978044924)	(150, 31.71734444666267)	(155, 29.679097716090528)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1	(1, 33.101960905711906)	(2, 33.29472130401586)	(3, 32.87982011437949)	(4, 33.08456852423558)	(5, 33.24788452212652)	(6, 33.2006642631392)	(7, 33.297724458942895)	(8, 33.3047811094705)	(9, 33.32502232132095)	(10, 33.31442914717403)	(15, 33.29770069723763)	(20, 33.27971536391678)	(25, 33.30937458829606)	(30, 33.306917786790436)	(35, 33.29999358399052)	(40, 33.27987550890943)	(45, 33.265207197946715)	(50, 33.24439276440803)	(55, 33.203810241360415)	(60, 33.19732402010617)	(65, 33.15079833068567)	(70, 33.15458396389006)	(75, 33.12305411824363)	(80, 33.06964528324805)	(85, 32.99457633187118)	(90, 32.91536348918869)	(95, 32.936342334879)	(100, 32.93326080908345)	(105, 32.89950015555714)	(110, 32.858952563874254)	(115, 32.82626178047296)	(120, 32.78396547388447)	(125, 32.714655223699594)	(130, 32.63595545234383)	(135, 32.62371416003692)	(140, 32.44388011194355)	(145, 32.513697368679104)	(150, 32.2080815235049)	(155, 30.880511847899953)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2	(1, 32.51003867690933)	(2, 32.886179053873555)	(3, 32.512272914223715)	(4, 32.72445700129418)	(5, 32.88003809726509)	(6, 32.939886354386985)	(7, 32.95433867205969)	(8, 32.98057751109925)	(9, 33.01927361828313)	(10, 33.01590239689766)	(15, 32.95729422503954)	(20, 33.01095993602403)	(25, 33.109072688980554)	(30, 33.112471572725795)	(35, 33.101153217164075)	(40, 33.087983953038915)	(45, 33.0728488986574)	(50, 33.05453023826433)	(55, 33.03032894581692)	(60, 32.91310180767194)	(65, 32.96852051817359)	(70, 32.841677882684586)	(75, 32.90251106816173)	(80, 32.87442365047989)	(85, 32.854175169624476)	(90, 32.82242620667391)	(95, 32.790059413207615)	(100, 32.627205725776875)	(105, 32.70443904301237)	(110, 32.636617795697816)	(115, 32.50926973311779)	(120, 32.447867436038045)	(125, 32.334279687095076)	(130, 32.33268020931157)	(135, 32.24298615959206)	(140, 32.13119890739788)	(145, 31.969078307406523)	(150, 31.74587822222042)	(155, 29.66344284551787)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1	(1, 33.071687859326)	(2, 33.27480663488312)	(3, 32.86552700103963)	(4, 33.0948570672446)	(5, 33.229027815808756)	(6, 33.1961599986005)	(7, 33.281016612990754)	(8, 33.29018532421892)	(9, 33.30549632695971)	(10, 33.29755775221412)	(15, 33.27877366942635)	(20, 33.26085236442473)	(25, 33.29040138227113)	(30, 33.289349397313416)	(35, 33.280483022933176)	(40, 33.26267107424551)	(45, 33.245118500996696)	(50, 33.226367046097245)	(55, 33.18264156675499)	(60, 33.178808095001465)	(65, 33.130730626956115)	(70, 33.13374949994685)	(75, 33.102157048715966)	(80, 33.04729884844557)	(85, 32.97234821554412)	(90, 32.88987404724824)	(95, 32.91338545133342)	(100, 32.907221689287056)	(105, 32.875386796979555)	(110, 32.8306317694382)	(115, 32.8008296718708)	(120, 32.75466521719375)	(125, 32.687646049657)	(130, 32.60557960791561)	(135, 32.594762039028424)	(140, 32.41266531630808)	(145, 32.48201807964384)	(150, 32.17634708465419)	(155, 30.864145146910552)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2	(1, 32.515427572686235)	(2, 32.87546228456904)	(3, 32.496412877448435)	(4, 32.74773086538482)	(5, 32.87330643346338)	(6, 32.949569698109904)	(7, 32.951442140204364)	(8, 32.98611486547391)	(9, 33.015984792027346)	(10, 33.014875972705575)	(15, 32.952282155766696)	(20, 33.003312325655216)	(25, 33.10054190721958)	(30, 33.10435282016503)	(35, 33.09364589928189)	(40, 33.0810543618709)	(45, 33.06595527767154)	(50, 33.04668491933255)	(55, 33.02293845816293)	(60, 32.90560559173658)	(65, 32.962770302997185)	(70, 32.838472623251455)	(75, 32.90042968782876)	(80, 32.87168428429397)	(85, 32.84992553076067)	(90, 32.81792681756879)	(95, 32.78297685695644)	(100, 32.61855288551743)	(105, 32.693347335796375)	(110, 32.62371038029873)	(115, 32.492812235376746)	(120, 32.42956420283308)	(125, 32.313214119322005)	(130, 32.31025860017053)	(135, 32.21641700983965)	(140, 32.10241937876877)	(145, 31.936363087372236)	(150, 31.7072441768996)	(155, 29.64562375523856)
