Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1	(17.0, 6.0)	(18.0, 70.0)	(19.0, 680.0)	(20.0, 4592.0)	(21.0, 16592.0)	(22.0, 39135.0)	(23.0, 68323.0)	(24.0, 117801.0)	(25.0, 196087.0)	(26.0, 322140.0)	(27.0, 501960.0)	(28.0, 768937.0)	(29.0, 1114311.0)	(30.0, 1658166.0)	(31.0, 2611162.0)	(32.0, 6395281.0)	(33.0, 42819851.0)	(34.0, 1209125.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2	(14.0, 5.0)	(15.0, 8.0)	(16.0, 73.0)	(17.0, 465.0)	(18.0, 2480.0)	(19.0, 8731.0)	(20.0, 21740.0)	(21.0, 38351.0)	(22.0, 59338.0)	(23.0, 88326.0)	(24.0, 141661.0)	(25.0, 221313.0)	(26.0, 351143.0)	(27.0, 528519.0)	(28.0, 802579.0)	(29.0, 1190263.0)	(30.0, 1905011.0)	(31.0, 3466711.0)	(32.0, 10884458.0)	(33.0, 37741929.0)	(34.0, 391115.0)										
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1	(17.0, 4.0)	(18.0, 38.0)	(19.0, 481.0)	(20.0, 3257.0)	(21.0, 11817.0)	(22.0, 28161.0)	(23.0, 50092.0)	(24.0, 86145.0)	(25.0, 141973.0)	(26.0, 232210.0)	(27.0, 360184.0)	(28.0, 553946.0)	(29.0, 802627.0)	(30.0, 1208125.0)	(31.0, 1933261.0)	(32.0, 4868522.0)	(33.0, 30225156.0)	(34.0, 798618.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2	(13.0, 2.0)	(14.0, 2.0)	(15.0, 9.0)	(16.0, 55.0)	(17.0, 338.0)	(18.0, 1678.0)	(19.0, 6055.0)	(20.0, 15868.0)	(21.0, 29439.0)	(22.0, 48014.0)	(23.0, 72443.0)	(24.0, 113727.0)	(25.0, 176320.0)	(26.0, 274311.0)	(27.0, 407544.0)	(28.0, 615187.0)	(29.0, 913053.0)	(30.0, 1475012.0)	(31.0, 2753143.0)	(32.0, 8613166.0)	(33.0, 25567752.0)	(34.0, 221499.0)									
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1	(17.0, 1.0)	(18.0, 54.0)	(19.0, 635.0)	(20.0, 4259.0)	(21.0, 15072.0)	(22.0, 34176.0)	(23.0, 59388.0)	(24.0, 97661.0)	(25.0, 157586.0)	(26.0, 253197.0)	(27.0, 386844.0)	(28.0, 588189.0)	(29.0, 845959.0)	(30.0, 1258449.0)	(31.0, 1977606.0)	(32.0, 4788740.0)	(33.0, 31400933.0)	(34.0, 993414.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2	(14.0, 7.0)	(15.0, 14.0)	(16.0, 63.0)	(17.0, 367.0)	(18.0, 1879.0)	(19.0, 6973.0)	(20.0, 17826.0)	(21.0, 32980.0)	(22.0, 52475.0)	(23.0, 78603.0)	(24.0, 122787.0)	(25.0, 188358.0)	(26.0, 290969.0)	(27.0, 428503.0)	(28.0, 642166.0)	(29.0, 942923.0)	(30.0, 1502879.0)	(31.0, 2749390.0)	(32.0, 8478339.0)	(33.0, 27058417.0)	(34.0, 266245.0)										
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1	(18.0, 42.0)	(19.0, 462.0)	(20.0, 3442.0)	(21.0, 12174.0)	(22.0, 29074.0)	(23.0, 51665.0)	(24.0, 90140.0)	(25.0, 149973.0)	(26.0, 249434.0)	(27.0, 391581.0)	(28.0, 605802.0)	(29.0, 884871.0)	(30.0, 1336783.0)	(31.0, 2150937.0)	(32.0, 5502951.0)	(33.0, 33586328.0)	(34.0, 792802.0)														
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2	(13.0, 1.0)	(14.0, 5.0)	(15.0, 15.0)	(16.0, 57.0)	(17.0, 358.0)	(18.0, 1759.0)	(19.0, 6120.0)	(20.0, 15847.0)	(21.0, 28797.0)	(22.0, 46382.0)	(23.0, 71116.0)	(24.0, 114013.0)	(25.0, 180223.0)	(26.0, 286609.0)	(27.0, 432279.0)	(28.0, 661655.0)	(29.0, 993998.0)	(30.0, 1620320.0)	(31.0, 3057821.0)	(32.0, 9732047.0)	(33.0, 28363553.0)	(34.0, 225486.0)									
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1	(17.0, 1.0)	(18.0, 56.0)	(19.0, 688.0)	(20.0, 3912.0)	(21.0, 12756.0)	(22.0, 28108.0)	(23.0, 46954.0)	(24.0, 80294.0)	(25.0, 133573.0)	(26.0, 221873.0)	(27.0, 348047.0)	(28.0, 533567.0)	(29.0, 774648.0)	(30.0, 1171145.0)	(31.0, 1877630.0)	(32.0, 4839799.0)	(33.0, 28639696.0)	(34.0, 615572.0)													
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2	(14.0, 1.0)	(15.0, 7.0)	(16.0, 67.0)	(17.0, 481.0)	(18.0, 2566.0)	(19.0, 8955.0)	(20.0, 20487.0)	(21.0, 32906.0)	(22.0, 46934.0)	(23.0, 67068.0)	(24.0, 103562.0)	(25.0, 160899.0)	(26.0, 253294.0)	(27.0, 377192.0)	(28.0, 574546.0)	(29.0, 856755.0)	(30.0, 1394552.0)	(31.0, 2608995.0)	(32.0, 8228057.0)	(33.0, 24389307.0)	(34.0, 201688.0)										
