"Drug","FC","abb_strain_name"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.842436394176066,"E. coli"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.673223571464382,"S. salivarius"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.855244339802795,"L. gasseri"
"Amlodipin",0.687660566511929,"E. faecalis"
"Amlodipin",0.687660566511929,"E. faecalis"
"Amlodipin",0.687660566511929,"E. faecalis"
