Sample	Unique Reads	Duplicate Reads
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG468 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG468_2	26536574	22916303
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG468 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG468_1	24669459	24783418
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG467 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG467_2	24660203	8764076
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG467 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG467_1	23775444	9648835
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG466 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG466_2	22082854	8798505
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG466 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG466_1	21416752	9464607
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG465 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG465_2	25532320	5488993
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG465 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG465_1	25001810	6019503
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG464 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG464_2	31173892	2661232
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG464 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG464_1	30879420	2955704
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG463 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG463_2	28668465	2257553
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG463 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG463_1	28391266	2534752
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG462 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG462_2	28880733	5855881
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG462 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG462_1	28481451	6255163
/ | scratch | karcher | fastqc | 240813_MG011_PRISMA_NovaSeq_final_for_Q | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG461 | H5YFCDSXC_240813_MG_PRISMA_24s001116-1-1_Gross_lane1MG461_2	26265585	5359689
