Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1 - illumina_universal_adapter	(1, 6.915124915075783e-06)	(2, 8.64390614384473e-06)	(3, 1.0372687372613674e-05)	(4, 1.5559031058920512e-05)	(5, 2.2474155973996294e-05)	(6, 3.457562457537892e-05)	(7, 3.9761968261685756e-05)	(8, 4.494831194799259e-05)	(9, 5.0134655634299426e-05)	(10, 6.3964905464451e-05)	(15, 9.127964887900034e-05)	(20, 0.0001497124544113907)	(25, 0.00021817219107064098)	(30, 0.00031705847735622464)	(35, 0.000492011137707642)	(40, 0.0007119121100070518)	(45, 0.0009902458878388522)	(50, 0.0013328903273808572)	(55, 0.0017958579404451808)	(60, 0.0022947842030678982)	(65, 0.0030277874440659313)	(70, 0.0039513023764743025)	(75, 0.005137592055655553)	(80, 0.006790998422850173)	(85, 0.009125198837934004)	(90, 0.012313762936275448)	(95, 0.016675823732705253)	(100, 0.022542269954409794)	(105, 0.031070347755927003)	(110, 0.04288276413585945)	(115, 0.058759545184627705)	(120, 0.08079631950774545)	(125, 0.1101873291780463)	(130, 0.14950016007649786)	(135, 0.20202260834397295)	(140, 0.2711306379640116)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2 - illumina_universal_adapter	(1, 1.5559031058920512e-05)	(2, 2.0745374745227348e-05)	(3, 2.7660499660303132e-05)	(4, 3.1118062117841025e-05)	(5, 3.457562457537892e-05)	(6, 3.803318703291681e-05)	(7, 4.1490749490454695e-05)	(8, 4.494831194799259e-05)	(9, 4.840587440553048e-05)	(10, 6.742246792198888e-05)	(15, 0.000108221704920936)	(20, 0.00016112241052126575)	(25, 0.00023960907830737586)	(30, 0.00035578317688064905)	(35, 0.0005442203308164642)	(40, 0.0007641213031158742)	(45, 0.0010448753746679505)	(50, 0.0014293563199461643)	(55, 0.001904079645366117)	(60, 0.0023895214144044373)	(65, 0.0031415412489189283)	(70, 0.004073008574979636)	(75, 0.005273820016482546)	(80, 0.0069545411270917155)	(85, 0.009268341923676073)	(90, 0.012448953628365178)	(95, 0.01673321926950038)	(100, 0.022465166311606694)	(105, 0.03093826887004906)	(110, 0.04262863329523041)	(115, 0.058395809614094706)	(120, 0.0802901323639619)	(125, 0.10963031586613695)	(130, 0.14946869625813428)	(135, 0.2028672908523495)	(140, 0.27251573748450125)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1 - illumina_universal_adapter	(1, 7.2631105621921155e-06)	(2, 1.2105184270320192e-05)	(3, 1.6947257978448268e-05)	(4, 2.1789331686576345e-05)	(5, 3.14734791028325e-05)	(6, 5.0841773935344803e-05)	(7, 5.5683847643472884e-05)	(8, 5.5683847643472884e-05)	(9, 6.778903191379307e-05)	(10, 8.522049726305415e-05)	(15, 0.00012444129429889155)	(20, 0.0001699567871552955)	(25, 0.0002261248421695812)	(30, 0.000415449924157389)	(35, 0.0008008789913243839)	(40, 0.0012913810579577583)	(45, 0.0019019665525527086)	(50, 0.0026960666406857133)	(55, 0.0037555123680241367)	(60, 0.005057545988139777)	(65, 0.0065827992062001215)	(70, 0.00849009203983177)	(75, 0.010834139921936572)	(80, 0.01376746817432056)	(85, 0.01730605564022056)	(90, 0.021806763151925607)	(95, 0.027843376443848877)	(100, 0.0353863588663708)	(105, 0.045117474397595794)	(110, 0.05761002456456623)	(115, 0.07396945479484776)	(120, 0.09556946139943628)	(125, 0.12319736556327347)	(130, 0.15842829386361335)	(135, 0.2035036422199484)	(140, 0.25982809621500663)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2 - illumina_universal_adapter	(1, 1.4526221124384231e-05)	(2, 1.6947257978448268e-05)	(3, 2.4210368540640385e-05)	(4, 2.6631405394704422e-05)	(5, 3.3894515956896536e-05)	(6, 5.3262810789408844e-05)	(7, 6.052592135160096e-05)	(8, 6.052592135160096e-05)	(9, 6.778903191379307e-05)	(10, 8.812574148793099e-05)	(15, 0.00012153605007401473)	(20, 0.00016705154293041865)	(25, 0.00023726161169827578)	(30, 0.0004231972420903939)	(35, 0.0008270261893482756)	(40, 0.001362075334096428)	(45, 0.0020007448561985214)	(50, 0.002805013299118595)	(55, 0.003880437869693841)	(60, 0.005185376734034358)	(65, 0.006679640680362681)	(70, 0.008533670703204923)	(75, 0.010889339562209232)	(80, 0.013835257206234353)	(85, 0.017409191810203686)	(90, 0.021945730667348885)	(95, 0.027854997420748383)	(100, 0.035179118111662924)	(105, 0.04469911922921353)	(110, 0.05699556541100478)	(115, 0.07304752396082016)	(120, 0.09432165900485169)	(125, 0.12176653278252163)	(130, 0.15735383770777972)	(135, 0.20274537347725557)	(140, 0.2590911325966296)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2 - polyg	(1, 0.08740669354227398)	(2, 0.09073077714290391)	(3, 0.09130940495102521)	(4, 0.09245213434614344)	(5, 0.09320991888146547)	(6, 0.09384423053723026)	(7, 0.0945342260406385)	(8, 0.09511285384875981)	(9, 0.0958682173472278)	(10, 0.09749660673527125)	(15, 0.09913177502650611)	(20, 0.10009873714601929)	(25, 0.10085458485185808)	(30, 0.10158186432281893)	(35, 0.1023440067244783)	(40, 0.10312890687256585)	(45, 0.10388475457840465)	(50, 0.10456942380073395)	(55, 0.10521099856706091)	(60, 0.10591939395056005)	(65, 0.1066844415964443)	(70, 0.10741849997059649)	(75, 0.10813270584254539)	(80, 0.10889581665894639)	(85, 0.10973010595885684)	(90, 0.11054163751233911)	(95, 0.11134300071103431)	(100, 0.11215985854559551)	(105, 0.11298785314968543)	(110, 0.11396207837976077)	(115, 0.11509754466431683)	(120, 0.11628336851543737)	(125, 0.11774034849421314)	(130, 0.11943507429205795)	(135, 0.12143920859985217)	(140, 0.12365348890657915)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1 - illumina_universal_adapter	(1, 1.8664480371650867e-05)	(2, 2.0997540418107226e-05)	(3, 2.3330600464563582e-05)	(4, 3.0329780603932656e-05)	(5, 3.4995900696845374e-05)	(6, 3.966202078975809e-05)	(7, 3.966202078975809e-05)	(8, 4.6661200929127163e-05)	(9, 5.132732102203988e-05)	(10, 6.672551732865185e-05)	(15, 0.00010358786606266231)	(20, 0.0001642474272705276)	(25, 0.00025197048501728666)	(30, 0.00038915441574892054)	(35, 0.0005958635358649538)	(40, 0.0008473674088729493)	(45, 0.00110073772991811)	(50, 0.001499224385852856)	(55, 0.0019131092380942137)	(60, 0.0025169051781171194)	(65, 0.0033040796377914947)	(70, 0.004341824746455283)	(75, 0.0055979442754673855)	(80, 0.007390667615164451)	(85, 0.009780187714745054)	(90, 0.013203720026915111)	(95, 0.018252928579455964)	(100, 0.02496187604904587)	(105, 0.03420219366904092)	(110, 0.04682078223630478)	(115, 0.06372800178096472)	(120, 0.08625183008146368)	(125, 0.11608233583545469)	(130, 0.15396236536172941)	(135, 0.20284930557517594)	(140, 0.2660649673699388)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2 - illumina_universal_adapter	(1, 1.399836027873815e-05)	(2, 2.3330600464563582e-05)	(3, 2.3330600464563582e-05)	(4, 2.79967205574763e-05)	(5, 3.4995900696845374e-05)	(6, 4.199508083621445e-05)	(7, 4.899426097558352e-05)	(8, 5.366038106849624e-05)	(9, 6.532568130077803e-05)	(10, 7.979065358880744e-05)	(15, 0.00011152027022061391)	(20, 0.0001647140392798189)	(25, 0.00025663660511019944)	(30, 0.00038168862360026017)	(35, 0.0005883977437162936)	(40, 0.000864165441207435)	(45, 0.0011497319908936932)	(50, 0.0015706160232744203)	(55, 0.0019975660117759336)	(60, 0.002621426268198364)	(65, 0.0034128002359563605)	(70, 0.0044640770928895965)	(75, 0.00572766241405036)	(80, 0.007575912582853087)	(85, 0.009995762463037622)	(90, 0.013414162043105476)	(95, 0.01829539027230147)	(100, 0.02474583468874401)	(105, 0.03388583072674144)	(110, 0.04639989820392405)	(115, 0.06316386786173156)	(120, 0.08564243479732929)	(125, 0.11529142847970597)	(130, 0.1534126964147843)	(135, 0.20278631295392163)	(140, 0.266151757203667)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2 - polyg	(1, 0.08200239451284808)	(2, 0.0852733446979799)	(3, 0.08584727746940816)	(4, 0.08681316432864108)	(5, 0.08751074928253154)	(6, 0.08811034571447082)	(7, 0.08876593558752506)	(8, 0.08928854103793128)	(9, 0.08996512845140363)	(10, 0.09150494808206483)	(15, 0.09308069683744144)	(20, 0.09409837762970572)	(25, 0.09496207645890385)	(30, 0.0957725815190428)	(35, 0.0965261599140482)	(40, 0.09725827415662622)	(45, 0.09803238348004044)	(50, 0.09880415974340818)	(55, 0.09955400524233926)	(60, 0.10024785730015537)	(65, 0.10105696252426646)	(70, 0.1018399374758572)	(75, 0.10258744991474182)	(80, 0.10339142240675067)	(85, 0.10422199178328914)	(90, 0.10508102449239436)	(95, 0.10593725752944386)	(100, 0.10673749712537839)	(105, 0.10753493704925718)	(110, 0.10844109757130083)	(115, 0.10943498115109125)	(120, 0.11053478565699078)	(125, 0.11166865283956855)	(130, 0.11291450690437624)	(135, 0.11412769812853354)	(140, 0.11563905442662799)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1 - illumina_universal_adapter	(1, 2.1815741152391655e-06)	(2, 4.363148230478331e-06)	(3, 6.544722345717497e-06)	(4, 1.527101880667416e-05)	(5, 3.490518584382665e-05)	(6, 3.490518584382665e-05)	(7, 4.363148230478331e-05)	(8, 4.7994630535261646e-05)	(9, 4.7994630535261646e-05)	(10, 6.32656493419358e-05)	(15, 8.682664978651879e-05)	(20, 0.00011213290952329312)	(25, 0.0001749622440421811)	(30, 0.00028884041285766554)	(35, 0.0004960899538053864)	(40, 0.0007338815323664553)	(45, 0.0010375566492077473)	(50, 0.0014729988426094847)	(55, 0.0019385467588015227)	(60, 0.0025506964555376322)	(65, 0.0033648599153448893)	(70, 0.00437143821211624)	(75, 0.005683436885021075)	(80, 0.007431750380973741)	(85, 0.009901292279424479)	(90, 0.013228192805164204)	(95, 0.01802111113634465)	(100, 0.02438607177496644)	(105, 0.03292344391754339)	(110, 0.04482785754958048)	(115, 0.06046276291867653)	(120, 0.08134479034974582)	(125, 0.10884658627609682)	(130, 0.1448098355658145)	(135, 0.19110065671707435)	(140, 0.24994992742011996)																																						
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2 - illumina_universal_adapter	(1, 4.363148230478331e-06)	(2, 4.363148230478331e-06)	(3, 8.726296460956662e-06)	(4, 1.7452592921913324e-05)	(5, 3.054203761334832e-05)	(6, 3.490518584382665e-05)	(7, 4.363148230478331e-05)	(8, 4.581305642002248e-05)	(9, 5.017620465050081e-05)	(10, 6.152039004974446e-05)	(15, 8.988085354785363e-05)	(20, 0.00012696761350691944)	(25, 0.00020070481860200322)	(30, 0.0003390166175081664)	(35, 0.0005580466586781786)	(40, 0.0008193992376838306)	(45, 0.001137909058508749)	(50, 0.0015999664561164042)	(55, 0.002062896483370155)	(60, 0.0026645746243531172)	(65, 0.0034944454177900956)	(70, 0.0045049505479688775)	(75, 0.005842691795433533)	(80, 0.007580970050456101)	(85, 0.010052693523022075)	(90, 0.013335089936810924)	(95, 0.018034200581036088)	(100, 0.0242625946800439)	(105, 0.03268827022792061)	(110, 0.044364054892680624)	(115, 0.05973542610865579)	(120, 0.08036788146094172)	(125, 0.10772787506980219)	(130, 0.14394593221617974)	(135, 0.19062114672654476)	(140, 0.24949266948556587)																																						
