Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1	(1, 0.0007243593348541883)	(2, 0.005274511528974054)	(3, 0.0)	(4, 4.4948311947992595e-05)	(5, 5.186343686306837e-06)	(6, 0.2912702477666783)	(7, 3.976196826168575e-05)	(8, 2.2474155973996297e-05)	(9, 3.976196826168575e-05)	(10, 0.0)	(15, 2.7660499660303132e-06)	(20, 3.4575624575378916e-07)	(25, 1.728781228768946e-05)	(30, 1.27929810928902e-05)	(35, 0.0)	(40, 3.803318703291681e-06)	(45, 1.0372687372613675e-06)	(50, 1.27929810928902e-05)	(55, 0.061776959941321014)	(60, 2.039961849947356e-05)	(65, 0.06276962612288015)	(70, 5.981583051540553e-05)	(75, 6.984276164226541e-05)	(80, 0.00010580141120065949)	(85, 6.154461174417447e-05)	(90, 0.05679115487755138)	(95, 2.2128399728242506e-05)	(100, 6.776822416774267e-05)	(105, 4.0107724507439544e-05)	(110, 0.00012516376096287168)	(115, 2.938928088907208e-05)	(120, 2.2128399728242506e-05)	(125, 0.05940161453299248)	(130, 0.11452484128102758)	(135, 0.00012308922348834895)	(140, 0.30438893124306854)	(145, 8.643906143844728e-05)	(150, 0.3707647950091607)	(155, 2.2474155973996297e-05)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2	(1, 0.0)	(2, 1.728781228768946e-05)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 5.186343686306837e-06)	(10, 3.699591829565544e-05)	(15, 0.17646396090160713)	(20, 5.324646184608353e-05)	(25, 1.3138737338643987e-05)	(30, 5.9124318023897945e-05)	(35, 4.5294068193746376e-05)	(40, 0.00012862132342040955)	(45, 3.146381836359481e-05)	(50, 2.800625590605692e-05)	(55, 3.0080793380579654e-05)	(60, 0.2450447122468712)	(65, 6.223612423568205e-05)	(70, 0.18035544744756601)	(75, 1.4176006075905358e-05)	(80, 7.399183659131088e-05)	(85, 4.425679945648501e-05)	(90, 3.077230587208724e-05)	(95, 1.7979324779197034e-05)	(100, 0.36797869118087667)	(105, 2.039961849947356e-05)	(110, 4.1490749490454695e-05)	(115, 0.115087386692869)	(120, 0.062301472166129516)	(125, 0.18195802764663485)	(130, 5.0480411880053214e-05)	(135, 6.119885549842067e-05)	(140, 0.00010303536123462916)	(145, 0.06277481246656645)	(150, 7.468334908281845e-05)	(155, 2.420293720276524e-05)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1	(1, 0.0007214689825110835)	(2, 0.005667647275363914)	(3, 4.842073708128076e-06)	(4, 4.357866337315269e-05)	(5, 2.421036854064038e-06)	(6, 0.2871180236340165)	(7, 3.3894515956896536e-05)	(8, 1.9368294832512305e-05)	(9, 4.842073708128076e-05)	(10, 0.0)	(15, 9.684147416256153e-07)	(20, 1.9368294832512305e-06)	(25, 1.1620976899507384e-05)	(30, 1.646305060763546e-05)	(35, 2.421036854064038e-06)	(40, 1.7431465349261078e-05)	(45, 6.2946958205665e-06)	(50, 3.437872332770934e-05)	(55, 0.060766088207524105)	(60, 2.6147198023891612e-05)	(65, 0.06133115820926265)	(70, 0.00014284117438977825)	(75, 0.00011039928054532015)	(80, 0.00014913587021034476)	(85, 0.00013364123434433492)	(90, 0.05629782258966353)	(95, 3.0505064361206885e-05)	(100, 0.00012298867218645316)	(105, 5.0841773935344803e-05)	(110, 0.00013993593016490142)	(115, 2.9052442248768462e-05)	(120, 4.938915182290638e-05)	(125, 0.05896677361758372)	(130, 0.1165521036062385)	(135, 0.00018060934931317727)	(140, 0.3032561710958366)	(145, 0.00012492550166970438)	(150, 0.36748676304152633)	(155, 3.1473479102832495e-05)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2	(1, 0.0)	(2, 3.1473479102832495e-05)	(3, 2.421036854064038e-06)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 2.421036854064038e-06)	(9, 7.2631105621921155e-06)	(10, 6.972586139704431e-05)	(15, 0.17789100913343417)	(20, 5.471543290184727e-05)	(25, 1.5978843236822654e-05)	(30, 6.875744665541868e-05)	(35, 4.98733591937192e-05)	(40, 0.0001631778839639162)	(45, 6.149433609322658e-05)	(50, 4.357866337315269e-05)	(55, 5.66522623850985e-05)	(60, 0.2432667515110962)	(65, 8.618891200467977e-05)	(70, 0.17957653499123355)	(75, 1.4042013753571423e-05)	(80, 0.00010362037735394085)	(85, 6.827323928460588e-05)	(90, 4.212604126071427e-05)	(95, 5.277860341859604e-05)	(100, 0.3652468197441463)	(105, 1.7915672720073885e-05)	(110, 0.00011088348791613295)	(115, 0.11690605919430266)	(120, 0.061396041996951575)	(125, 0.18140296519393945)	(130, 0.0001070098289496305)	(135, 0.00011814659847832509)	(140, 0.00015349373654766004)	(145, 0.06129048479011439)	(150, 8.328366777980291e-05)	(155, 0.0001065256215788177)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1	(1, 0.0006952518938439948)	(2, 0.005620341651913367)	(3, 2.3330600464563583e-06)	(4, 4.432814088267081e-05)	(5, 2.3330600464563583e-06)	(6, 0.2825709005866083)	(7, 4.6661200929127163e-05)	(8, 1.1665300232281791e-05)	(9, 2.79967205574763e-05)	(10, 0.0)	(15, 2.3330600464563583e-06)	(20, 3.732896074330173e-06)	(25, 2.2863988455272312e-05)	(30, 1.1665300232281791e-05)	(35, 0.0)	(40, 1.399836027873815e-05)	(45, 4.199508083621445e-06)	(50, 1.726464434377705e-05)	(55, 0.05927652321232598)	(60, 3.12630046225152e-05)	(65, 0.05903901769959673)	(70, 0.00016704709932627523)	(75, 0.00013671731872234258)	(80, 0.00015584841110328473)	(85, 0.00014791600694533311)	(90, 0.05647078520045758)	(95, 2.5197048501728668e-05)	(100, 0.00013251781063872115)	(105, 3.4995900696845374e-05)	(110, 0.00010685415012770121)	(115, 2.4730436492437398e-05)	(120, 5.5526829105661334e-05)	(125, 0.05876698289817992)	(130, 0.11906305335080733)	(135, 0.000166580487316984)	(140, 0.298933117304416)	(145, 0.00013531748269446877)	(150, 0.35884329962535955)	(155, 1.8664480371650867e-05)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2	(1, 4.666120092912717e-06)	(2, 0.0)	(3, 1.1665300232281791e-05)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 4.666120092912717e-06)	(9, 0.0)	(10, 8.818966975605035e-05)	(15, 0.17837970519593238)	(20, 6.159278522644786e-05)	(25, 2.2863988455272312e-05)	(30, 5.459360508707878e-05)	(35, 3.2662840650389015e-05)	(40, 0.00015678163512186728)	(45, 6.112617321715658e-05)	(50, 4.6661200929127163e-05)	(55, 4.292830485479699e-05)	(60, 0.23909199356084762)	(65, 9.985496998833214e-05)	(70, 0.17799055078018344)	(75, 1.5864808315903234e-05)	(80, 9.332240185825433e-05)	(85, 6.625890531936058e-05)	(90, 3.172961663180647e-05)	(95, 5.832650116140896e-05)	(100, 0.3586575880456616)	(105, 2.0997540418107226e-05)	(110, 7.465792148660347e-05)	(115, 0.11869442986346722)	(120, 0.059548091401733505)	(125, 0.17889297840615276)	(130, 0.00010032158199762341)	(135, 0.00010918721017415756)	(140, 0.00012085251040643935)	(145, 0.05900402179889988)	(150, 9.37890138675456e-05)	(155, 0.00011665300232281792)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1	(1, 0.0006871958463003371)	(2, 0.005613190198510373)	(3, 0.0)	(4, 3.272361172858748e-05)	(5, 6.544722345717497e-06)	(6, 0.2853237153839)	(7, 3.272361172858748e-05)	(8, 1.3089444691434995e-05)	(9, 3.272361172858748e-05)	(10, 0.0)	(15, 4.363148230478332e-06)	(20, 8.726296460956663e-07)	(25, 1.1780500222291495e-05)	(30, 6.544722345717497e-06)	(35, 0.0)	(40, 1.657996327581766e-05)	(45, 6.108407522669664e-06)	(50, 2.4433630090678656e-05)	(55, 0.06034932106468409)	(60, 3.0105722790300485e-05)	(65, 0.06050595808615826)	(70, 0.00010340661306233646)	(75, 0.00011693237257681927)	(80, 0.00017059909581170277)	(85, 0.00014398389160578492)	(90, 0.05675234166347775)	(95, 2.1815741152391657e-05)	(100, 7.111931615679681e-05)	(105, 3.097835243639615e-05)	(110, 0.00013394865067568477)	(115, 1.9197852214104657e-05)	(120, 5.2794093588787805e-05)	(125, 0.0586346038101061)	(130, 0.11644806312323618)	(135, 0.00013874811372921095)	(140, 0.3006475282841629)	(145, 0.00010384292788538429)	(150, 0.3637469416785175)	(155, 4.144990818954415e-05)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2	(1, 4.7994630535261646e-05)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 4.363148230478332e-06)	(7, 0.0)	(8, 6.544722345717496e-05)	(9, 0.0)	(10, 5.8029871465361804e-05)	(15, 0.17804829878559839)	(20, 5.235777876573998e-05)	(25, 3.315992655163532e-05)	(30, 5.017620465050081e-05)	(35, 3.621413031297015e-05)	(40, 9.729820553966679e-05)	(45, 4.232253783563981e-05)	(50, 6.413827898803148e-05)	(55, 2.7051519028965656e-05)	(60, 0.24201292447405687)	(65, 0.00011256922434634094)	(70, 0.17904091500803224)	(75, 9.598926107052328e-06)	(80, 6.413827898803148e-05)	(85, 8.639033496347096e-05)	(90, 2.8360463498109152e-05)	(95, 3.8395704428209314e-05)	(100, 0.36127870872453594)	(105, 1.8761537391056824e-05)	(110, 4.930357500440514e-05)	(115, 0.11660382751506426)	(120, 0.06079654375830811)	(125, 0.18058023370374499)	(130, 5.410303805793131e-05)	(135, 5.890250111145748e-05)	(140, 9.817083518576246e-05)	(145, 0.06051730227155751)	(150, 7.940929779470563e-05)	(155, 5.235777876573998e-05)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1	(1, 0.0006789001075789687)	(2, 0.00506505248800489)	(3, 2.542697032130969e-06)	(4, 3.8140455481964534e-05)	(5, 2.542697032130969e-06)	(6, 0.28456339565390526)	(7, 3.051236438557163e-05)	(8, 2.2884273289178722e-05)	(9, 3.30550614177026e-05)	(10, 0.0)	(15, 4.576854657835744e-06)	(20, 2.0341576257047753e-06)	(25, 2.3392812695604914e-05)	(30, 1.0170788128523877e-05)	(35, 1.0170788128523877e-06)	(40, 8.645169909245295e-06)	(45, 0.0)	(50, 1.4239103379933425e-05)	(55, 0.060645866913355745)	(60, 8.136630502819101e-06)	(65, 0.05963082225812906)	(70, 5.4413716487602737e-05)	(75, 6.661866224183139e-05)	(80, 8.746877790530534e-05)	(85, 3.9666073701243116e-05)	(90, 0.056114780802098356)	(95, 9.662248722097683e-06)	(100, 6.255034699042183e-05)	(105, 9.153709315671488e-06)	(110, 0.00010374203891094353)	(115, 3.5597758449833564e-06)	(120, 1.779887922491678e-05)	(125, 0.059012438339914805)	(130, 0.1174288684954981)	(135, 0.00010221642069166496)	(140, 0.30103651264626896)	(145, 5.899057114543848e-05)	(150, 0.3634393832088272)	(155, 3.559775844983356e-05)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 3.864899488839073e-05)	(15, 0.17826696330448297)	(20, 6.0516189364717064e-05)	(25, 1.6781800412064394e-05)	(30, 5.4922255894028935e-05)	(35, 3.7123376669112144e-05)	(40, 0.00010577619653664831)	(45, 1.8307418631342976e-05)	(50, 2.0850115663473948e-05)	(55, 1.3222024567081039e-05)	(60, 0.2425046440454269)	(65, 4.88197830169146e-05)	(70, 0.17928607627496104)	(75, 2.0341576257047753e-06)	(80, 7.017843808681474e-05)	(85, 3.7123376669112144e-05)	(90, 2.390135210203111e-05)	(95, 1.3730563973507234e-05)	(100, 0.3619844519670419)	(105, 1.2713485160654845e-05)	(110, 5.1871019455471765e-05)	(115, 0.11785349889986399)	(120, 0.06057162016001752)	(125, 0.18001939009902762)	(130, 2.44098915084573e-05)	(135, 4.373438895265267e-05)	(140, 7.119551689966712e-05)	(145, 0.05962421124584552)	(150, 6.102472877114326e-05)	(155, 3.8140455481964534e-05)
