Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1	(1.0, 60.65206259862782)	(2.0, 22.40653257796819)	(3.0, 8.49780494522995)	(4.0, 3.8252190950089298)	(5.0, 1.8799070012482648)	(6.0, 0.9800519023130644)	(7.0, 0.5638900807273586)	(8.0, 0.35919642149403475)	(9.0, 0.19438069991649948)	('>10', 0.60090912012636)	('>50', 0.030912831925448265)	('>100', 0.007127022148607942)	('>500', 0.0020057032655209214)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2	(1.0, 62.542953743296295)	(2.0, 21.23153421687496)	(3.0, 8.21463086160163)	(4.0, 3.6080404548736573)	(5.0, 1.7997902458248678)	(6.0, 0.9394266978893066)	(7.0, 0.5374898882095523)	(8.0, 0.2725305116675516)	(9.0, 0.16609592103097837)	('>10', 0.5985870482807788)	('>50', 0.03304845231495482)	('>100', 0.002682264747292845)	('>500', 0.0018336468297706977)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.05135604655838503)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1	(1.0, 55.396013236478936)	(2.0, 23.042482587768866)	(3.0, 10.353309098425587)	(4.0, 4.917120488640219)	(5.0, 2.443370521113351)	(6.0, 1.1650614562252517)	(7.0, 0.714693966285131)	(8.0, 0.4183174266603711)	(9.0, 0.230138101693592)	('>10', 1.096473856302812)	('>50', 0.15034961141461758)	('>100', 0.07266964899128533)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2	(1.0, 57.54239338152048)	(2.0, 22.22737425881909)	(3.0, 9.704696738273684)	(4.0, 4.538388734947848)	(5.0, 2.2592529700395674)	(6.0, 1.1301646324947927)	(7.0, 0.6750005912034914)	(8.0, 0.3475304800922994)	(9.0, 0.21687234046893641)	('>10', 1.0749168437735637)	('>50', 0.15135035964261137)	('>100', 0.06259693513191933)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06946173359166416)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1	(1.0, 61.59320272917563)	(2.0, 22.466926435658344)	(3.0, 8.485837427048187)	(4.0, 3.4097124263691763)	(5.0, 1.5474711044246712)	(6.0, 0.6415365471628256)	(7.0, 0.3554315561141439)	(8.0, 0.19458926617467592)	(9.0, 0.1645618682514491)	('>10', 1.117570323401775)	('>50', 0.019407971156334407)	('>100', 0.00375234506271677)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2	(1.0, 63.37170721843002)	(2.0, 21.700484744785342)	(3.0, 8.043540574439715)	(4.0, 3.1170600812042997)	(5.0, 1.3759398152923197)	(6.0, 0.6270808161346166)	(7.0, 0.31194447957577787)	(8.0, 0.21059028159599574)	(9.0, 0.12510938703079164)	('>10', 1.0342997798877305)	('>50', 0.013972052116711198)	('>100', 0.0023949608289608173)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06587580867780823)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1	(1.0, 61.33226794950583)	(2.0, 22.890660526956758)	(3.0, 8.60148140475378)	(4.0, 3.3505486773116906)	(5.0, 1.4123188749401794)	(6.0, 0.6522473548575105)	(7.0, 0.29784347411420486)	(8.0, 0.20451301357702875)	(9.0, 0.11398079205662431)	('>10', 1.0605818362040351)	('>50', 0.08099464620542819)	('>100', 0.002561449516981808)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2	(1.0, 63.30220914393699)	(2.0, 21.966328688328097)	(3.0, 8.087250495877326)	(4.0, 3.0961430029589048)	(5.0, 1.2600236636706341)	(6.0, 0.5674973347986587)	(7.0, 0.28962361439175477)	(8.0, 0.1751929473087549)	(9.0, 0.11290445249606451)	('>10', 1.0023654606501617)	('>50', 0.07222299730401552)	('>100', 0.0045960106746575895)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.06364218760386979)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1	(1.0, 60.22125219875829)	(2.0, 22.59821137544788)	(3.0, 9.023993212248033)	(4.0, 3.621384758030086)	(5.0, 1.68824708171997)	(6.0, 0.8015810315156269)	(7.0, 0.44316178729652334)	(8.0, 0.22794931376776212)	(9.0, 0.19696287967373027)	('>10', 1.117006898656853)	('>50', 0.03382169207497762)	('>100', 0.012995236368132785)	('>500', 0.0026937292069958356)	('>1k', 0.010738805235165107)	('>5k', 0.0)	('>10k+', 0.0)
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2	(1.0, 62.27714744172075)	(2.0, 21.78251136062842)	(3.0, 8.302156738402882)	(4.0, 3.361866403157255)	(5.0, 1.4881505588628654)	(6.0, 0.7386021369794714)	(7.0, 0.4125953064877548)	(8.0, 0.2761263810759689)	(9.0, 0.16247997056834265)	('>10', 1.0489300803660628)	('>50', 0.03275191124846572)	('>100', 0.011084405946038278)	('>500', 0.004479413329293961)	('>1k', 0.009514262028687187)	('>5k', 0.0)	('>10k+', 0.09160362919772816)
