Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57844219.0	8.9 Gbp	0.0	155.0	44.0	76.3736316447058	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57844219.0	8.9 Gbp	0.0	155.0	44.0	77.48696908956194	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41304617.0	6.4 Gbp	0.0	155.0	46.0	72.53514946400685	155.0	155	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG10_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	41304617.0	6.4 Gbp	0.0	155.0	46.0	73.90130862575671	155.0	155	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42862163.0	6.6 Gbp	0.0	155.0	47.0	77.08322501682173	155.0	155	pass	pass	fail	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG11_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	42862163.0	6.6 Gbp	0.0	155.0	47.0	78.20859647439093	155.0	155	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45838461.0	7.1 Gbp	0.0	155.0	44.0	77.01461143874614	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG12_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45838461.0	7.1 Gbp	0.0	155.0	44.0	78.23481897910428	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39328319.0	6 Gbp	0.0	155.0	45.0	76.09036759200465	155.0	155	pass	pass	fail	pass	warn	pass	pass	pass	pass	pass	pass
/ | scratch | karcher | fastqc | 230111_PRISMA_Batch1_P3_for_Q | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13 | AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2	AAAY7KJHV_230111_MG_Batch1_23s000063-1-1_Gross_lane1MG13_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39328319.0	6 Gbp	0.0	155.0	45.0	77.37746031410852	155.0	155	pass	pass	pass	pass	warn	pass	pass	pass	pass	pass	pass
